strata,year,Model 18,Model 22.1.a,Model 22.1.b,Model 22.2.a,Model 22.2.b,Model 22.2.c,Model 22.3
EGOA,2017,0.37977054067068616,0.36339452065190253,0.36608167587157164,0.3735496424361178,0.3635489056164431,0.37208859765690333,0.370143329480358
CGOA,2017,0.45255076365881386,0.4107389785469559,0.4112671423137136,0.409013599702796,0.41690828283969966,0.4131500645381476,0.452931898020683
WGOA,2017,0.16767869567050003,0.22586650080114165,0.22265118181471477,0.21743675786108613,0.21954281154385727,0.21476133780494913,0.176924772498959
EGOA,2018,0.3667273956682754,0.3818513518552743,0.38739677462409333,0.3892916822130255,0.36041897310848486,0.3668297719427273,0.3588794413546308
CGOA,2018,0.4593339188600737,0.3771485580868548,0.3768862144012974,0.3821051943582689,0.40898696071928653,0.41115215524569565,0.4570652968987954
WGOA,2018,0.17393868547165084,0.24100009005787099,0.23571701097460923,0.2286031234287056,0.2305940661722285,0.22201807281157698,0.18405526174657377
EGOA,2019,0.3539373037776532,0.3415900519693057,0.3504566701432596,0.36354501473411716,0.3397413215091759,0.34991136971248465,0.34712975377065824
CGOA,2019,0.4657756891427898,0.4060492342035986,0.40673457671849345,0.399957946730749,0.4250983847060491,0.42405513378445975,0.46037471648722295
WGOA,2019,0.18028700707955714,0.25236071382709563,0.24280875313824696,0.2364970385351339,0.23516029378477496,0.2260334965030557,0.19249552974211884
EGOA,2020,0.3539373037776532,0.30604392570574773,0.31990625685876245,0.32223772474554185,0.33623380697440136,0.33253841162243974,0.347384287309676
CGOA,2020,0.4657756891427898,0.45564302292620384,0.44988603160940493,0.44693578587119637,0.4435295656877589,0.4481656492917819,0.4565124531846609
WGOA,2020,0.18028700707955714,0.23831305136804845,0.2302077115318327,0.23082648938326175,0.2202366273378397,0.21929593908577844,0.19610325950566312
EGOA,2021,0.3539373037776532,0.30604392570574773,0.31968022960218945,0.30854786935308837,0.34162492741943046,0.32649339274270056,0.34743332377774544
CGOA,2021,0.4657756891427898,0.45564302292620384,0.46403702902481464,0.4705300653555843,0.4479912855438171,0.4612501300954919,0.453266804022171
WGOA,2021,0.18028700707955714,0.23831305136804845,0.21628274137299602,0.22092206529132738,0.21038378703675234,0.21225647716180765,0.19929987220008355
EGOA,2022,0.3539373037776532,0.30604392570574773,0.31968022960218945,0.30854786935308837,0.34162492741943046,0.32649339274270056,0.34743332377774544
CGOA,2022,0.4657756891427898,0.45564302292620384,0.46403702902481464,0.4705300653555843,0.4479912855438171,0.4612501300954919,0.453266804022171
WGOA,2022,0.18028700707955714,0.23831305136804845,0.21628274137299602,0.22092206529132738,0.21038378703675234,0.21225647716180765,0.19929987220008355
